budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
0,Paper Street Films,USA,Josh Radnor,Comedy,215576,Happythankyoumoreplease,R,3/3/2011,100,6.8,Josh Radnor,27342,Josh Radnor,2010
0,Secret Handshake Entertainment,USA,Michael J. Weithorn,Comedy,85789,A Little Help,R,22/7/2011,100,5.7,Jenna Fischer,2787,Michael J. Weithorn,2010
0,Hughes House Film,Australia,Patrick Hughes,Thriller,20960,Red Hill,R,5/11/2010,95,6.4,Ryan Kwanten,7518,Patrick Hughes,2010
20000000,Hyde Park Films,USA,Kevin Munroe,Action,1183354,Dylan Dog: Dead of Night,PG-13,29/4/2011,100,5.1,Brandon Routh,13559,Thomas Dean Donnelly,2010
15000000,An Olive Branch Productions,Canada,George Hickenlooper,Biography,1039869,Casino Jack,R,7/1/2011,108,6.2,Kevin Spacey,15443,Norman Snider,2010
12000000,Company Films,USA,Malcolm Venville,Comedy,101882,Henry's Crime,R,14/1/2011,108,6,Keanu Reeves,16513,Sacha Gervasi,2010
0,Samuel Goldwyn Films,UK,Jake Scott,Drama,152857,Welcome to the Rileys,R,18/11/2011,100,7,James Gandolfini,21126,Ken Hixon,2010
0,Access Motion Pictures,Canada,Geoffrey Sax,Biography,693181,Frankie & Alice,R,12/8/2014,100,6.5,Halle Berry,4201,Cheryl Edwards,2010
85000000,CD2 Films,USA,Brad Peyton,Action,43585753,Cats & Dogs: The Revenge of Kitty Galore,PG,30/7/2010,100,4.3,Bette Midler,11161,Ron J. Friedman,2010
35000000,Summit Entertainment,USA,Roger Kumble,Comedy,17596256,Furry Vengeance,PG,30/4/2010,100,3.8,Brendan Fraser,13245,Michael Carnes,2010
0,Thin Man Films,UK,Mike Leigh,Comedy,3205706,Another Year,PG-13,4/2/2011,129,7.3,Jim Broadbent,24862,Mike Leigh,2010
10000000,Herrick Entertainment,USA,Brad Anderson,Horror,22197,Vanishing on 7th Street,R,5/2/2011,92,4.9,Hayden Christensen,22864,Anthony Jaswinski,2010
65000,Tiny Ponies,USA,Lena Dunham,Comedy,389804,Tiny Furniture,NOT RATED,30/3/2012,98,6.2,Lena Dunham,12702,Lena Dunham,2010
20000000,Lions Gate Family Entertainment,USA,Anthony Bell,Animation,25077977,Alpha and Omega,PG,17/9/2010,90,5.3,Hayden Panettiere,11636,Chris Denk,2010
125000000,Warner Bros.,USA,David Yates,Adventure,381011219,Harry Potter and the Deathly Hallows: Part 2,PG-13,15/7/2011,130,8.1,Daniel Radcliffe,608969,Steve Kloves,2011
163000000,Universal Pictures,USA,Jon Favreau,Action,100240551,Cowboys & Aliens,PG-13,29/7/2011,119,6,Daniel Craig,182868,Roberto Orci,2011
250000000,Walt Disney Pictures,USA,Rob Marshall,Action,241071802,Pirates of the Caribbean: On Stranger Tides,PG-13,20/5/2011,100,6.6,Johnny Depp,408968,Ted Elliott,2011
15000000,FilmDistrict,USA,Nicolas Winding Refn,Crime,35060689,Drive,R,16/9/2011,100,7.8,Ryan Gosling,472901,Hossein Amini,2011
25000000,DreamWorks,USA,Tate Taylor,Drama,169708112,The Help,PG-13,10/8/2011,146,8.1,Emma Stone,351321,Tate Taylor,2011
50000000,Carousel Productions (II),USA,Glenn Ficarra,Comedy,84351197,"Crazy, Stupid, Love.",PG-13,29/7/2011,100,7.4,Steve Carell,404694,Dan Fogelman,2011
90000000,Columbia Pictures,USA,David Fincher,Crime,102515793,The Girl with the Dragon Tattoo,R,21/12/2011,158,7.8,Daniel Craig,356094,Steven Zaillian,2011
32500000,Universal Pictures,USA,Paul Feig,Comedy,169106725,Bridesmaids,R,13/5/2011,125,6.8,Kristen Wiig,232190,Kristen Wiig,2011
82000000,Warner Bros.,USA,Zack Snyder,Action,36392502,Sucker Punch,PG-13,25/3/2011,110,6.1,Emily Browning,207858,Zack Snyder,2011
150000000,Paramount Pictures,USA,Kenneth Branagh,Action,181030624,Thor,PG-13,6/5/2011,115,7,Chris Hemsworth,585830,Ashley Miller,2011
140000000,Paramount Pictures,USA,Joe Johnston,Action,176654505,Captain America: The First Avenger,PG-13,22/7/2011,124,6.9,Chris Evans,563504,Christopher Markus,2011
25000000,Lionsgate,USA,Gavin O'Connor,Drama,13657115,Warrior,PG-13,9/9/2011,140,8.2,Tom Hardy,365224,Gavin O'Connor,2011
160000000,Twentieth Century Fox Film Corporation,USA,Matthew Vaughn,Action,146408305,X-Men: First Class,PG-13,3/6/2011,132,7.8,James McAvoy,561501,Ashley Miller,2011
200000000,Warner Bros.,USA,Martin Campbell,Action,116601172,Green Lantern,PG-13,17/6/2011,114,5.6,Ryan Reynolds,235591,Greg Berlanti,2011
27000000,Relativity Media,USA,Neil Burger,Mystery,79249455,Limitless,PG-13,18/3/2011,105,7.4,Bradley Cooper,454361,Leslie Dixon,2011
75000000,Relativity Media,USA,Tarsem Singh,Action,83504017,Immortals,R,11/11/2011,110,6,Henry Cavill,144952,Charley Parlapanides,2011
50000000,Paramount Pictures,USA,J.J. Abrams,Mystery,127004179,Super 8,PG-13,10/6/2011,112,7,Elle Fanning,303656,J.J. Abrams,2011
93000000,Twentieth Century Fox Film Corporation,USA,Rupert Wyatt,Action,176760185,Rise of the Planet of the Apes,PG-13,5/8/2011,105,7.6,James Franco,439105,Rick Jaffa,2011
60000000,Screen Gems,USA,Scott Stewart,Action,29136626,Priest,PG-13,13/5/2011,87,5.7,Paul Bettany,102144,Cory Goodman,2011
195000000,Paramount Pictures,USA,Michael Bay,Action,352390543,Transformers: Dark of the Moon,PG-13,29/6/2011,154,6.3,Shia LaBeouf,345669,Ehren Kruger,2011
40000000,Regency Enterprises,USA,Andrew Niccol,Action,37520095,In Time,PG-13,28/10/2011,109,6.7,Justin Timberlake,324606,Andrew Niccol,2011
50000000,Twentieth Century Fox Film Corporation,USA,Cameron Crowe,Comedy,75624550,We Bought a Zoo,PG,23/12/2011,124,7.1,Matt Damon,118916,Aline Brosh McKenna,2011
32000000,Summit Entertainment,USA,Duncan Jones,Mystery,54712227,Source Code,PG-13,1/4/2011,93,7.5,Jake Gyllenhaal,414859,Ben Ripley,2011
145000000,Paramount Pictures,USA,Brad Bird,Action,209397903,Mission: Impossible - Ghost Protocol,PG-13,21/12/2011,132,7.4,Tom Cruise,388730,Bruce Geller,2011
80000000,Columbia Pictures,USA,Dennis Dugan,Comedy,103028109,Just Go with It,PG-13,11/2/2011,117,6.4,Adam Sandler,185840,Allan Loeb,2011
40000000,Lionsgate,USA,Brad Furman,Crime,58009200,The Lincoln Lawyer,R,18/3/2011,118,7.3,Matthew McConaughey,184728,John Romano,2011
35000000,New Line Cinema,USA,Seth Gordon,Comedy,117538559,Horrible Bosses,R,8/7/2011,106,6.9,Jason Bateman,375032,Michael Markowitz,2011
60000000,DreamWorks,USA,D.J. Caruso,Action,55100437,I Am Number Four,PG-13,18/2/2011,109,6.1,Alex Pettyfer,205616,Alfred Gough,2011
6500000,See-Saw Films,UK,Steve McQueen,Drama,4000304,Shame,NC-17,16/3/2012,101,7.2,Michael Fassbender,158515,Steve McQueen,2011
40000000,Dimension Films,USA,Wes Craven,Horror,38180928,Scream 4,R,15/4/2011,111,6.2,Neve Campbell,110371,Kevin Williamson,2011
35000000,Screen Gems,USA,Will Gluck,Comedy,55802754,Friends with Benefits,R,22/7/2011,109,6.6,Mila Kunis,292555,Keith Merryman,2011
20000000,Columbia Pictures,USA,Jake Kasdan,Comedy,100292856,Bad Teacher,R,24/6/2011,92,5.7,Cameron Diaz,169725,Gene Stupnitsky,2011
150000000,Paramount Pictures,USA,Martin Scorsese,Adventure,73864507,Hugo,PG,23/11/2011,126,7.5,Asa Butterfield,264187,John Logan,2011
1000000,Snoot Entertainment,USA,Adam Wingard,Horror,18474268,You're Next,R,23/8/2013,95,6.5,Sharni Vinson,70259,Simon Barrett,2011
50000000,Columbia Pictures,USA,Bennett Miller,Biography,75605492,Moneyball,PG-13,23/9/2011,133,7.6,Brad Pitt,302465,Steven Zaillian,2011
15000000,Focus Features,USA,Lone Scherfig,Drama,13843771,One Day,PG-13,19/8/2011,107,7,Anne Hathaway,116446,David Nicholls,2011
0,No Trace Camping,USA,Michael Dowse,Comedy,4168144,Goon,R,24/2/2012,92,6.8,Seann William Scott,75386,Jay Baruchel,2011
25000000,Paramount Pictures,USA,Ivan Reitman,Comedy,70662220,No Strings Attached,R,21/1/2011,108,6.2,Natalie Portman,181844,Elizabeth Meriwether,2011
110000000,Summit Entertainment,USA,Bill Condon,Adventure,281287133,The Twilight Saga: Breaking Dawn - Part 1,PG-13,18/11/2011,117,4.9,Kristen Stewart,193280,Melissa Rosenberg,2011
7000000,BBC Films,UK,Lynne Ramsay,Drama,1738692,We Need to Talk About Kevin,R,13/1/2012,112,7.5,Tilda Swinton,108592,Lynne Ramsay,2011
125000000,Warner Bros.,USA,Guy Ritchie,Action,186848418,Sherlock Holmes: A Game of Shadows,PG-13,16/12/2011,129,7.5,Robert Downey Jr.,365008,Michele Mulroney,2011
125000000,Universal Pictures,USA,Justin Lin,Action,209837675,Fast Five,PG-13,29/4/2011,130,7.3,Vin Diesel,307369,Chris Morgan,2011
30000000,Focus Features,USA,Joe Wright,Action,40259119,Hanna,PG-13,8/4/2011,111,6.8,Saoirse Ronan,166517,Seth Lochhead,2011
50200000,Universal Pictures,USA,George Nolfi,Romance,62495645,The Adjustment Bureau,PG-13,4/3/2011,106,7.1,Matt Damon,211918,George Nolfi,2011
25000000,Open Road Films (II),USA,Joe Carnahan,Action,51580136,The Grey,R,27/1/2012,117,6.8,Liam Neeson,214403,Joe Carnahan,2011
110000000,DreamWorks,USA,Shawn Levy,Action,85468508,Real Steel,PG-13,7/10/2011,127,7.1,Hugh Jackman,268336,John Gatins,2011
135000000,Paramount Pictures,USA,Gore Verbinski,Animation,123477607,Rango,PG,4/3/2011,107,7.2,Johnny Depp,198267,John Logan,2011
6000000,Code Red,USA,Lance Daly,Drama,4106,The Good Doctor,PG-13,31/8/2012,91,5.6,Orlando Bloom,5532,John Enbom,2011
38000000,Morgan Creek Productions,USA,Matthijs van Heijningen Jr.,Horror,16928670,The Thing,R,14/10/2011,103,6.2,Mary Elizabeth Winstead,102345,Eric Heisserer,2011
90000000,Millennium Films,USA,Marcus Nispel,Action,21295021,Conan the Barbarian,R,19/8/2011,113,5.2,Jason Momoa,85864,Thomas Dean Donnelly,2011
32000000,Cottonwood Pictures,USA,Terrence Malick,Drama,13303319,The Tree of Life,PG-13,21/10/2011,139,6.8,Brad Pitt,146243,Terrence Malick,2011
20000000,Fox Searchlight Pictures,USA,Alexander Payne,Comedy,82584160,The Descendants,R,9/12/2011,115,7.3,George Clooney,213733,Alexander Payne,2011
40000000,Universal Pictures,USA,Greg Mottola,Adventure,37412945,Paul,R,18/3/2011,104,7,Simon Pegg,205426,Simon Pegg,2011
52000000,Universal Pictures,USA,David Dobkin,Comedy,37081475,The Change-Up,R,5/8/2011,112,6.3,Jason Bateman,144130,Jon Lucas,2011
60000000,Warner Bros.,USA,Steven Soderbergh,Drama,75658097,Contagion,PG-13,9/9/2011,106,6.6,Matt Damon,189798,Scott Z. Burns,2011
24000000,Paramount Pictures,USA,Craig Brewer,Comedy,51802742,Footloose,PG-13,14/10/2011,113,5.9,Kenny Wormald,40132,Dean Pitchford,2011
35000000,Lionsgate,USA,John Singleton,Action,28087155,Abduction,PG-13,23/9/2011,106,5.1,Taylor Lautner,68380,Shawn Christensen,2011
11000000,Voltage Pictures,USA,William Friedkin,Crime,1987762,Killer Joe,R,29/6/2012,102,6.7,Matthew McConaughey,63334,Tracy Letts,2011
18000000,Enticing Entertainment,USA,Sean McNamara,Biography,43853424,Soul Surfer,PG,8/4/2011,112,7.1,AnnaSophia Robb,38348,Sean McNamara,2011
8000000,Summit Entertainment,USA,Jonathan Levine,Comedy,35014192,50/50,R,30/9/2011,100,7.7,Joseph Gordon-Levitt,285675,Will Reiser,2011
36000000,New Line Cinema,USA,Bobby Farrelly,Comedy,45060734,Hall Pass,R,25/2/2011,105,5.9,Owen Wilson,108256,Pete Jones,2011
0,Screen Australia,Australia,Julia Leigh,Drama,37710,Sleeping Beauty,NOT RATED,2/12/2011,101,5.3,Emily Browning,27413,Julia Leigh,2011
80000000,Warner Bros.,USA,Todd Phillips,Comedy,254464305,The Hangover Part II,R,26/5/2011,102,6.5,Bradley Cooper,402097,Craig Mazin,2011
200000000,Walt Disney Pictures,USA,John Lasseter,Animation,191452396,Cars 2,G,24/6/2011,106,6.2,Owen Wilson,116477,John Lasseter,2011
0,Focus Features,UK,Cary Fukunaga,Drama,11242660,Jane Eyre,PG-13,22/4/2011,120,7.4,Mia Wasikowska,69029,Charlotte BrontÎ,2011
135000000,Columbia Pictures,USA,Steven Spielberg,Animation,77591831,The Adventures of Tintin,PG,21/12/2011,107,7.4,Jamie Bell,188070,HergÈ,2011
49900000,Universal Pictures,USA,David Gordon Green,Adventure,21596445,Your Highness,R,8/4/2011,102,5.6,Danny McBride,89047,Danny McBride,2011
66000000,DreamWorks,USA,Steven Spielberg,Drama,79884879,War Horse,PG-13,25/12/2011,146,7.2,Jeremy Irvine,125204,Lee Hall,2011
0,Recorded Picture Company (RPC),UK,David Cronenberg,Biography,5702083,A Dangerous Method,R,28/6/2012,99,6.5,Michael Fassbender,86882,Christopher Hampton,2011
45000000,Universal Pictures,USA,Oliver Parker,Action,8305970,Johnny English Reborn,PG,21/10/2011,101,6.3,Rowan Atkinson,95736,Hamish McColl,2011
40000000,CBS Films,USA,Simon West,Action,29121498,The Mechanic,R,28/1/2011,93,6.6,Jason Statham,131571,Richard Wenk,2011
12500000,Columbia Pictures,USA,George Clooney,Drama,40962534,The Ides of March,R,7/10/2011,101,7.1,Paul Giamatti,198569,George Clooney,2011
35000000,Imagine Entertainment,USA,Clint Eastwood,Biography,37306030,J. Edgar,R,11/11/2011,137,6.6,Leonardo DiCaprio,108929,Dustin Lance Black,2011
70000000,Columbia Pictures,USA,Jonathan Liebesman,Action,83552429,Battle Los Angeles,PG-13,11/3/2011,116,5.8,Aaron Eckhart,160672,Christopher Bertolini,2011
0,Goldcrest Pictures,USA,Gavin Wiesen,Drama,1429260,The Art of Getting By,PG-13,17/6/2011,83,6.6,Freddie Highmore,49820,Gavin Wiesen,2011
3500000,Before The Door Pictures,USA,J.C. Chandor,Drama,5354039,Margin Call,R,21/9/2012,107,7.1,Zachary Quinto,99567,J.C. Chandor,2011
30000000,DreamWorks,USA,Craig Gillespie,Comedy,18298649,Fright Night,R,19/8/2011,106,6.4,Anton Yelchin,89412,Marti Noxon,2011
90000000,Twentieth Century Fox Animation,USA,Carlos Saldanha,Animation,143619809,Rio,G,15/4/2011,96,6.9,Jesse Eisenberg,177152,Carlos Saldanha,2011
110000000,Columbia Pictures,USA,Raja Gosnell,Animation,142614158,The Smurfs,PG,29/7/2011,100,5.5,Hank Azaria,71925,J. David Stem,2011
250000,Paramount Vantage,USA,Drake Doremus,Drama,3413908,Like Crazy,PG-13,27/1/2012,86,6.7,Felicity Jones,51491,Drake Doremus,2011
13000000,StudioCanal,UK,Joe Cornish,Action,1024175,Attack the Block,R,13/5/2011,88,6.6,John Boyega,87579,Joe Cornish,2011
5000000,Hydraulx,USA,Jeff Nichols,Drama,1729969,Take Shelter,R,10/11/2011,121,7.4,Michael Shannon,76102,Jeff Nichols,2011
30000000,Dark Castle Entertainment,UK,Jaume Collet-Serra,Action,63686397,Unknown,PG-13,18/2/2011,113,6.9,Liam Neeson,221649,Oliver Butcher,2011
17000000,CBS Films,USA,Daniel Barnz,Drama,27865571,Beastly,PG-13,4/3/2011,86,5.6,Alex Pettyfer,68242,Daniel Barnz,2011
40000000,New Line Cinema,USA,Steven Quale,Horror,42587643,Final Destination 5,R,12/8/2011,92,5.9,Nicholas D'Agosto,89887,Eric Heisserer,2011
0,The Weinstein Company,UK,Simon Curtis,Biography,14600347,My Week with Marilyn,R,23/12/2011,99,7,Michelle Williams,75373,Adrian Hodges,2011
150000000,DreamWorks Animation,USA,Jennifer Yuh Nelson,Animation,165249063,Kung Fu Panda 2,PG,26/5/2011,90,7.3,Jack Black,203107,Jonathan Aibel,2011
4000000,"Harvey Boys, The",USA,Kevin Smith,Action,1104682,Red State,R,30/9/2011,88,6.2,Michael Parks,56365,Kevin Smith,2011
100000,Artists Public Domain,USA,Mike Cahill,Drama,1316074,Another Earth,PG-13,12/10/2011,92,7,Brit Marling,78957,Mike Cahill,2011
57000000,Columbia Pictures,USA,Mark Neveldine,Action,51774002,Ghost Rider: Spirit of Vengeance,PG-13,17/2/2012,96,4.3,Nicolas Cage,94617,Scott M. Gimple,2011
42000000,Warner Bros.,USA,Catherine Hardwicke,Fantasy,37662162,Red Riding Hood,PG-13,11/3/2011,100,5.4,Amanda Seyfried,96451,David Leslie Johnson,2011
16000000,Screen Gems,USA,Christian E. Christiansen,Drama,37300107,The Roommate,PG-13,4/2/2011,100,4.9,Minka Kelly,30941,Sonny Mallhi,2011
38000000,Fox 2000 Pictures,USA,Francis Lawrence,Drama,58709717,Water for Elephants,PG-13,22/4/2011,100,6.9,Robert Pattinson,100146,Richard LaGravenese,2011
0,Twentieth Century Fox Film Corporation,USA,David Gordon Green,Comedy,30538669,The Sitter,R,9/12/2011,81,5.7,Jonah Hill,62890,Brian Gatewood,2011
20000000,Regency Enterprises,USA,Mark Mylod,Comedy,14008193,What's Your Number?,R,30/9/2011,106,6.1,Anna Faris,63448,Gabrielle Allan,2011
0,BBC Films,UK,David Mackenzie,Drama,2959,Perfect Sense,R,9/3/2012,92,7.1,Ewan McGregor,46538,Kim Fupz Aakeson,2011
25000000,Screen Gems,USA,Rod Lurie,Action,10324441,Straw Dogs,R,16/9/2011,110,5.8,James Marsden,28710,Rod Lurie,2011
23000000,Rogue Pictures,USA,Michael Dowse,Comedy,6923891,Take Me Home Tonight,R,4/3/2011,100,6.3,Topher Grace,46068,Jackie Filgo,2011
75000000,Universal Pictures,USA,Brett Ratner,Action,78046570,Tower Heist,PG-13,4/11/2011,104,6.2,Eddie Murphy,116459,Adam Cooper,2011
50000000,Summit Entertainment,USA,Patrick Lussier,Action,10706786,Drive Angry,R,25/2/2011,104,5.4,Nicolas Cage,85499,Todd Farmer,2011
10000000,Blueprint Pictures,UK,John Madden,Comedy,46412041,The Best Exotic Marigold Hotel,PG-13,25/5/2012,124,7.3,Judi Dench,80051,Ol Parker,2011
0,Six Entertainment Company,USA,Tom Six,Horror,122890,The Human Centipede II (Full Sequence),NOT RATED,2011-11,91,3.9,Ashlynn Yennie,29249,Tom Six,2011
55000000,Cliffjack Motion Pictures,USA,Jim Sheridan,Drama,21283440,Dream House,PG-13,30/9/2011,84,6,Daniel Craig,54803,David Loucka,2011
56000000,New Line Cinema,USA,Garry Marshall,Comedy,54544638,New Year's Eve,PG-13,9/12/2011,113,5.7,Sarah Jessica Parker,70914,Katherine Fugate,2011
30000000,Universal Pictures,USA,Tom Hanks,Comedy,35608245,Larry Crowne,PG-13,1/7/2011,98,6.1,Tom Hanks,53606,Tom Hanks,2011
70000000,Omnilab Media,UK,Gary McKendry,Action,25124986,Killer Elite,R,23/9/2011,116,6.5,Jason Statham,111398,Matt Sherring,2011
37000000,New Line Cinema,USA,Mikael HÂfstrˆm,Drama,33047633,The Rite,PG-13,28/1/2011,114,6,Colin O'Donoghue,80181,Michael Petroni,2011
27000000,Dimension Films,USA,Robert Rodriguez,Action,38538188,Spy Kids 4: All the Time in the World,PG,19/8/2011,100,3.6,Jessica Alba,17340,Robert Rodriguez,2011
0,Anchor Bay Films,USA,Jamie Linden,Comedy,203373,10 Years,PG-13,5/10/2012,100,6.1,Channing Tatum,20229,Jamie Linden,2011
0,Film4,UK,Ben Palmer,Comedy,36000,The Inbetweeners Movie,R,17/8/2011,97,6.8,James Buckley,68128,Iain Morris,2011
40000000,Warner Bros.,USA,Stephen Daldry,Adventure,31847881,Extremely Loud & Incredibly Close,PG-13,20/1/2012,129,6.9,Thomas Horn,87522,Eric Roth,2011
35000000,Alcon Entertainment,USA,Luke Greenfield,Comedy,39046489,Something Borrowed,PG-13,6/5/2011,100,5.9,Ginnifer Goodwin,51026,Jennie Snyder Urman,2011
0,Fox Searchlight Pictures,USA,Sean Durkin,Drama,2981638,Martha Marcy May Marlene,R,21/12/2011,102,6.9,Elizabeth Olsen,42844,Sean Durkin,2011
45000000,GK Films,USA,Bruce Robinson,Comedy,13100042,The Rum Diary,R,28/10/2011,120,6.2,Johnny Depp,90562,Bruce Robinson,2011
13000000,PathÈ,UK,Phyllida Lloyd,Biography,30017992,The Iron Lady,PG-13,13/1/2012,105,6.4,Meryl Streep,88841,Abi Morgan,2011
750000,Dark Sky Films,USA,Ti West,Horror,77501,The Innkeepers,R,20/4/2012,101,5.5,Sara Paxton,29002,Ti West,2011
70000000,Universal Pictures,USA,Ron Howard,Comedy,48475290,The Dilemma,PG-13,14/1/2011,111,5.3,Vince Vaughn,45768,Allan Loeb,2011
120000000,Columbia Pictures,USA,Michel Gondry,Action,98780042,The Green Hornet,PG-13,14/1/2011,100,5.8,Seth Rogen,142094,Seth Rogen,2011
35000000,Millennium Films,USA,Joel Schumacher,Crime,16816,Trespass,R,18/5/2012,91,5.3,Nicolas Cage,36771,Karl Gajdusek,2011
45000000,Walt Disney Pictures,USA,James Bobin,Adventure,88631237,The Muppets,PG,23/11/2011,100,7.1,Amy Adams,78440,Jason Segel,2011
30000000,Summit Entertainment,USA,Chris Gorak,Action,21426805,The Darkest Hour,PG-13,25/12/2011,89,4.9,Emile Hirsch,51758,Jon Spaihts,2011
40000000,Atlas Entertainment,USA,Dominic Sena,Action,24827228,Season of the Witch,PG-13,7/1/2011,95,5.4,Nicolas Cage,80353,Bragi F. Schut,2011
36000000,Touchstone Pictures,UK,Kelly Asbury,Animation,99967670,Gnomeo & Juliet,G,11/2/2011,84,6,James McAvoy,45274,Rob Sprackling,2011
12000000,Anchor Bay Films,USA,Jonathan Hensleigh,Biography,1187711,Kill the Irishman,R,11/5/2012,106,7.1,Ray Stevenson,37684,Jonathan Hensleigh,2011
0,"Bureau, The",UK,Andrew Haigh,Drama,455459,Weekend,NOT RATED,4/11/2011,97,7.7,Tom Cullen,22381,Andrew Haigh,2011
15000000,Semtex Films,UK,Madonna,Drama,583455,W.E.,R,6/7/2012,119,6.2,Abbie Cornish,10495,Madonna,2011
5000000,Mandalay Vision,USA,Richard Linklater,Biography,9203192,Bernie,PG-13,22/6/2012,99,6.8,Jack Black,49922,Skip Hollandsworth,2011
25000000,Focus Features,UK,Kevin Macdonald,Action,19490041,The Eagle,PG-13,11/2/2011,114,6.2,Channing Tatum,57242,Jeremy Brock,2011
30000000,Relativity Media,USA,Marc Forster,Action,538690,Machine Gun Preacher,R,3/2/2012,129,6.8,Gerard Butler,56603,Jason Keller,2011
79000000,Columbia Pictures,USA,Dennis Dugan,Comedy,74158157,Jack and Jill,PG,11/11/2011,91,3.4,Adam Sandler,65046,Steve Koren,2011
17000000,Endgame Entertainment,USA,Roger Donaldson,Action,41081,Seeking Justice,R,13/1/2012,105,6.2,Nicolas Cage,40833,Todd Hickey,2011
0,Michael De Luca Productions,USA,Jim Field Smith,Comedy,70931,Butter,R,18/10/2012,100,6.2,Jennifer Garner,18293,Jason A. Micallef,2011
130000000,DreamWorks Animation,USA,Chris Miller,Animation,149260504,Puss in Boots,PG,28/10/2011,90,6.7,Antonio Banderas,122582,Tom Wheeler,2011
12000000,Paramount Pictures,USA,Jason Reitman,Comedy,16311571,Young Adult,R,16/12/2011,94,6.3,Charlize Theron,68120,Diablo Cody,2011
0,Informant Media,UK,Tanya Wexler,Comedy,1800000,Hysteria,R,31/8/2012,100,6.7,Maggie Gyllenhaal,27231,Stephen Dyer,2011
0,Hermetof Pictures,UK,Ralph Fiennes,Drama,756452,Coriolanus,R,20/1/2012,123,6.2,Ralph Fiennes,28230,John Logan,2011
0,Paper Street Films,USA,Tony Kaye,Drama,71177,Detachment,NOT RATED,15/6/2012,98,7.7,Adrien Brody,63058,Carl Lund,2011
63000000,Universal Pictures,USA,Tim Hill,Animation,108085305,Hop,PG,1/4/2011,100,5.5,Russell Brand,26043,Cinco Paul,2011
25000000,Incentive Filmed Entertainment,USA,David R. Ellis,Horror,18872522,Shark Night 3D,PG-13,2/9/2011,90,4,Sara Paxton,21890,Will Hayes,2011
37000000,Alcon Entertainment,Canada,Charles Martin Smith,Drama,72286779,Dolphin Tale,PG,23/9/2011,113,6.9,Morgan Freeman,19114,Karen Janszen,2011
80000000,Columbia Pictures,USA,Frank Coraci,Comedy,80360843,Zookeeper,PG,8/7/2011,100,5.2,Kevin James,48201,Nick Bakay,2011
21000000,Summit Entertainment,USA,Jodie Foster,Drama,970816,The Beaver,PG-13,17/6/2011,91,6.7,Mel Gibson,42609,Kyle Killen,2011
0,Warp X,UK,Ben Wheatley,Crime,26297,Kill List,NOT RATED,2/9/2011,95,6.4,Neil Maskell,29136,Ben Wheatley,2011
55000000,Twentieth Century Fox Film Corporation,USA,Mark Waters,Comedy,68224452,Mr. Popper's Penguins,PG,17/6/2011,100,6,Jim Carrey,73019,Sean Anders,2011
30000000,Columbia Pictures,UK,Roland Emmerich,Drama,4463292,Anonymous,PG-13,2/12/2011,130,6.9,Rhys Ifans,36079,John Orloff,2011
12000000,Lightstream Entertainment,USA,Oren Moverman,Crime,969239,Rampart,R,24/2/2012,108,5.8,Woody Harrelson,20869,James Ellroy,2011
21000000,Fox 2000 Pictures,USA,David Bowers,Comedy,52698535,Diary of a Wimpy Kid: Rodrick Rules,PG,25/3/2011,100,6.6,Zachary Gordon,20904,Gabe Sachs,2011
0,Endgame Entertainment,USA,Alex Gregory,Comedy,154604,A Good Old Fashioned Orgy,R,27/10/2011,95,6.2,Jason Sudeikis,18896,Alex Gregory,2011
0,Film4,UK,Andrea Arnold,Drama,96889,Wuthering Heights,NOT RATED,11/11/2011,129,6.1,Kaya Scodelario,7758,Andrea Arnold,2011
30000000,Walt Disney Pictures,USA,Stephen J. Anderson,Animation,26692846,Winnie the Pooh,G,15/7/2011,100,7.2,Jim Cummings,16941,Stephen J. Anderson,2011
0,UK Film Council,UK,Phil Traill,Comedy,1201,Chalet Girl,R,14/10/2011,100,6.3,Felicity Jones,20389,Tom Williams,2011
3000000,Rhombus Media,Canada,Jason Eisener,Action,703002,Hobo with a Shotgun,NOT RATED,12/5/2011,86,6.1,Rutger Hauer,39392,John Davies,2011
135000000,Warner Bros.,Australia,George Miller,Animation,64006466,Happy Feet Two,PG,18/11/2011,100,5.9,Elijah Wood,34974,George Miller,2011
30000000,Universal Pictures,USA,Alister Grierson,Adventure,23070045,Sanctum,R,4/2/2011,108,5.9,Rhys Wakefield,49065,John Garvin,2011
5000000,Paramount Pictures,USA,Henry Joost,Horror,104007828,Paranormal Activity 3,R,21/10/2011,83,5.8,Chloe Csengery,80871,Christopher Landon,2011
0,Camberwell / Fly Films,UK,Terence Davies,Drama,1124786,The Deep Blue Sea,R,25/11/2011,98,6.3,Rachel Weisz,12608,Terence Rattigan,2011
0,BCDF Pictures,USA,Bruce Beresford,Comedy,539896,"Peace, Love, & Misunderstanding",R,16/8/2012,96,5.9,Jane Fonda,6655,Christina Mengert,2011
0,UK Film Council,UK,Lasse Hallstrˆm,Comedy,9025107,Salmon Fishing in the Yemen,PG-13,15/6/2012,107,6.8,Ewan McGregor,54890,Simon Beaufoy,2011
10000000,Red Granite Pictures,USA,Jennifer Westfeldt,Comedy,7250054,Friends with Kids,R,16/3/2012,107,6.2,Jennifer Westfeldt,37719,Jennifer Westfeldt,2011
5000000,Big Beach Films,USA,Jesse Peretz,Comedy,24814830,Our Idiot Brother,R,26/8/2011,90,6.4,Paul Rudd,77870,Jesse Peretz,2011
